ProductID,WarehouseID,ProductSupplierID,Name,Type,Description,Weight,PackagingMaterial,Price
38,1,0,Love Beauty And Planet Sulfate Free Shampoo Volumizing Shampoo for Fine Hair Coconut Water and Mimosa Flower Refill Bottle for use with Reusable Aluminum Bottle 32 oz,Shampoo,|https://m.media-amazon.com/images/I/81hCur4Mw3L._AC_UL400_.jpg,,Plastic,15.74
39,5,0,MONDAY HAIRCARE Gentle Shampoo + Conditioner Set (2 Pack) 12oz Each for Normal to Delicate Hair Types  Made from Coconut Oil  Rice Protein   Vitamin E  100 Recyclable Bottles,Shampoo,|https://m.media-amazon.com/images/I/61POlqyCZTL._AC_UL400_.jpg,,Plastic,10.99
40,1,0,Aussie Total Miracle Shampoo  30.4 Fluid Ounce  Pack of 4,Shampoo,|https://m.media-amazon.com/images/I/51+ccxujH0L._AC_UL400_.jpg,,Plastic,11.99
41,3,0,Redken Color Extend Magnetics Shampoo For Color-Treated Hair | Gently Cleanses  Protects Color | With Amino Acid | Sulfate Free Shampoo,Shampoo,|https://m.media-amazon.com/images/I/61kg4VCMf7L._AC_UL400_.jpg,,Plastic,12.99
42,3,0,normcore signature shampoo | amika,Shampoo,|https://m.media-amazon.com/images/I/71ZtgU6KwFL._AC_UL400_.jpg,,Plastic,7.29
43,4,0,GIOVANNI Tea Tree Triple Treat Invigorating Shampoo  24 oz. - Cooling Peppermint  Eucalyptus  Conditioning Rosemary  Strengthens  Helps Dry Flaking Scalp  Lauryl and Laureth Sulfate Free  Paraben Free,Shampoo,|https://m.media-amazon.com/images/I/61JNPqSDvdS._AC_UL400_.jpg,,Plastic,9.29
44,1,0,Nioxin System 2 Scalp Cleansing Shampoo with Peppermint Oil  Treats Dry and Sensitive Scalp  Dandruff Relief and Anti-Hair Breakage  For Natural Hair with Progressed Thinning  33.8 fl oz,Shampoo,|https://m.media-amazon.com/images/I/71Az1AFRDPL._AC_UL400_.jpg,,Plastic,23.00
45,4,0,Dove Hair Therapy Shampoo for Damaged  Breakage Remedy with Nutrient-Lock Serum  33.8 Fl Oz,Shampoo,|https://m.media-amazon.com/images/I/71Zj8G4YrOL._AC_UL400_.jpg,,Plastic,38.50
46,5,0,Head and Shoulders Shampoo  Anti Dandruff Treatment and Scalp Care  Green Apple  32.1 fl oz  Twin Pack,Shampoo,|https://m.media-amazon.com/images/I/61hc63NB+NL._AC_UL400_.jpg,,Plastic,26.00
47,3,0,Malin + Goetz Shampoo,Shampoo,|https://m.media-amazon.com/images/I/71xxdSIaAbL._AC_UL400_.jpg,,Plastic,18.23
48,4,1,Herbal Essences Rose Hips Smooth Shampoo  29.2 fl oz,Shampoo,|https://i5.walmartimages.com/asr/7f9c4760-bf1f-4a21-94b9-83476def25ba.9cbe089f7ec82f74e1eef001b702c3c2.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,Plastic,9.97
49,5,1,Aussie Miracle Moist Shampoo and Conditioner Hair Set  26.2 fl oz,Shampoo,|https://i5.walmartimages.com/asr/2bdbf94b-c399-4ce3-a22a-3e12250b04ed.bbbe2fd4f6efc1a9341f52c51d2cc700.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,Plastic,13.47
50,0,1,Tresemme Rich Moisture Rich Moisture Shampoo and Conditioner  28 oz  2 Count,Shampoo,|https://i5.walmartimages.com/asr/ae7a7e11-869c-4061-8104-7c97b5ca9644_1.49a96a0d2a0f1a1e3eb0ed392f0b33d0.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,Plastic,9.98
51,4,1,Tresemme Rich Moisture Hydrating Shampoo with Pump  39 oz,Shampoo,|https://i5.walmartimages.com/asr/559b3994-f9ad-45f1-a000-5ccf3ceb2805.ba0420250e4871f3b3d3cf76ac8adbb5.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,Plastic,7.98
52,2,1,4U by Tia Moisturizing Shampoo with Watermelon and Hemi15  13 fl oz,Shampoo,|https://i5.walmartimages.com/asr/5ba7325b-ff03-4977-be3a-5e641bc6a509.a701cb0f2a484a09f7ed431fcc2c6adb.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,10.47
53,4,1,4U by Tia Clarifying Shampoo with Apple Cider Vinegar and Hemi15  13 fl oz,Shampoo,|https://i5.walmartimages.com/asr/e5734fbf-03be-4c20-9c16-90695c6c2b4a.206ea51973f3e44379a525662664c48b.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,10.47
54,0,1,Garnier Whole Blends Honey Treasures Shampoo and Conditioner Set  For Damaged Hair  1 kit,Shampoo,|https://i5.walmartimages.com/asr/b3732d16-632d-491a-bb2e-8e49015ea58b.dd823ec3e802cfed39854388c8eec1f3.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,6.97
55,1,1,Aussie Total Miracle Shampoo  Paraben Free  26.2 fl oz,Shampoo,|https://i5.walmartimages.com/asr/2934feb8-28ec-4b7b-af46-2c8d1aa1f65c.1ca5d03334d55cf0c9d69bc9af665831.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,7.32
56,4,1,Suave Moroccan Oil Infusion Shampoo and Conditioner Set  18 oz 2 Pack,Shampoo,|https://i5.walmartimages.com/asr/c225f9d4-429d-463f-a394-8f1104017c82.f653dbbc1fbea5753f3ec2ed30688039.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,5.98
57,0,1,Garnier Fructis Grow Strong Shampoo amp; Conditioner For Stronger  Healthier  Shinier Hair  1 kit,Shampoo,|https://i5.walmartimages.com/asr/022b4184-8a2a-4ff5-b823-5fce06a10e6d.b3a34a1f7e46909d8a8cf064c9060889.png?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,5.97
58,4,1,Pantene Pro-V Daily Moisture Renewal Shampoo  27.7 oz,Shampoo,|https://i5.walmartimages.com/asr/cf81ebfb-9d81-48f2-9297-eebcdeb5bdf0.bf7b0bfa8122a90c5b35bcb98688b57b.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,Plastic,7.97
59,4,1,Head and Shoulders 2 in 1 Dandruff Shampoo and Conditioner  Lemon Essential Oil  12.5 oz,Shampoo,|https://i5.walmartimages.com/asr/22370053-65da-43e3-a5b6-e4abd5251b7f.a318b83f53128047adee1cc1ba24b9fe.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,11.47
